time,close,high,low,open,volumefrom,volumeto
2023-02-26 18:00:00,23475.91,23526.45,23231.36,23242.09,3685.67,86271766.05
2023-02-26 19:00:00,23511.98,23535.8,23373.81,23475.91,2194.23,51501025.91
2023-02-26 20:00:00,23639.77,23673.78,23470.44,23511.98,2394.28,56480693.44
2023-02-26 21:00:00,23558.14,23646.88,23554.0,23639.77,1611.69,38038999.86
2023-02-26 22:00:00,23470.11,23588.8,23332.98,23558.14,2324.72,54480010.67
2023-02-26 23:00:00,23557.39,23607.85,23461.45,23470.11,2076.77,48887932.4
2023-02-27 00:00:00,23495.97,23561.92,23462.22,23557.39,1206.8,28360453.17
2023-02-27 01:00:00,23551.71,23556.99,23441.66,23495.97,847.69,19908716.46
2023-02-27 02:00:00,23560.87,23633.24,23530.52,23551.71,976.53,23020299.77
2023-02-27 03:00:00,23553.1,23637.91,23548.16,23560.87,1187.24,28009843.49
2023-02-27 04:00:00,23495.93,23555.97,23470.62,23553.1,1014.0,23834250.11
2023-02-27 05:00:00,23388.79,23505.38,23362.64,23495.93,1597.07,37427821.15
2023-02-27 06:00:00,23410.03,23430.57,23377.87,23388.79,748.68,17521642.29
2023-02-27 07:00:00,23426.99,23451.39,23407.66,23410.03,678.43,15899813.44
2023-02-27 08:00:00,23360.29,23452.36,23350.13,23426.99,963.99,22553666.91
2023-02-27 09:00:00,23393.24,23433.65,23344.35,23360.29,701.08,16395968.31
2023-02-27 10:00:00,23382.08,23412.94,23355.6,23393.24,513.68,12012568.36
2023-02-27 11:00:00,23425.68,23445.11,23375.52,23382.08,520.0,12177454.55
2023-02-27 12:00:00,23397.33,23433.53,23384.93,23425.68,593.19,13884264.2
2023-02-27 13:00:00,23706.14,23781.93,23397.33,23397.33,3869.88,91506161.15
2023-02-27 14:00:00,23809.83,23826.49,23683.66,23706.14,3729.49,88617408.44
2023-02-27 15:00:00,23542.91,23876.65,23500.4,23809.83,4689.34,111015247.97
2023-02-27 16:00:00,23403.96,23608.03,23180.94,23542.91,6229.96,145556143.34
2023-02-27 17:00:00,23338.14,23415.97,23280.52,23403.96,2280.17,53269044.74
2023-02-27 18:00:00,23280.4,23363.82,23172.2,23338.14,2861.07,66510806.75
2023-02-27 19:00:00,23284.91,23351.76,23229.87,23280.4,2153.42,50156105.43
2023-02-27 20:00:00,23310.97,23314.09,23144.28,23284.91,3191.31,74119437.03
2023-02-27 21:00:00,23383.91,23391.64,23298.25,23310.97,1282.91,29962759.59
2023-02-27 22:00:00,23481.91,23532.77,23366.31,23383.91,1282.84,30065210.61
2023-02-27 23:00:00,23490.07,23573.02,23451.69,23481.91,1379.29,32422148.54
2023-02-28 00:00:00,23422.28,23534.88,23418.52,23490.07,1507.2,35389768.78
