time,close,high,low,open,volumefrom,volumeto,Date,Time,volume,marketcap,price_delta
2023-02-25 04:00:00,23125.64,23125.64,23061.29,23078.05,745.22,17207479.59,2023-02-25,04:00:00,17206734.37,397933978305.68756,47.590000000000146
2023-02-25 05:00:00,23045.24,23125.84,23030.53,23125.64,698.92,16123025.02,2023-02-25,05:00:00,16122326.1,371558981111.9048,-80.39999999999782
2023-02-25 06:00:00,23090.12,23099.51,23044.39,23045.24,517.65,11946897.91,2023-02-25,06:00:00,11946380.26,275855306369.6492,44.87999999999738
2023-02-25 07:00:00,23121.39,23122.36,23077.88,23090.12,463.23,10699011.09,2023-02-25,07:00:00,10698547.86,247376008026.2151,31.270000000000437
2023-02-25 08:00:00,23103.7,23156.23,23102.92,23121.39,607.35,14046708.73,2023-02-25,08:00:00,14046101.38,324530944485.301,-17.68999999999869
2023-02-25 09:00:00,23060.14,23122.02,23020.86,23103.7,1046.6,24136372.91,2023-02-25,09:00:00,24135326.31,556588138396.8074,-43.56000000000131
2023-02-25 10:00:00,22936.49,23064.73,22935.53,23060.14,1264.44,29060968.76,2023-02-25,10:00:00,29059704.32,666556619354.0525,-123.64999999999782
2023-02-25 11:00:00,22984.73,23012.93,22923.66,22936.49,1134.05,26047610.56,2023-02-25,11:00:00,26046476.509999998,598697295866.7488,48.23999999999796
2023-02-25 12:00:00,23014.81,23018.8,22874.21,22984.73,1595.08,36598779.63,2023-02-25,12:00:00,36597184.550000004,842313959416.3204,30.080000000001746
2023-02-25 13:00:00,23004.02,23077.0,22999.72,23014.81,1006.04,23171739.32,2023-02-25,13:00:00,23170733.28,533043154752.0664,-10.790000000000873
2023-02-25 14:00:00,23006.07,23045.99,22987.21,23004.02,794.21,18274164.03,2023-02-25,14:00:00,18273369.82,420416696865.6621,2.0499999999992724
2023-02-25 15:00:00,23009.0,23029.43,22978.17,23006.07,642.06,14769115.78,2023-02-25,15:00:00,14768473.719999999,339822584982.01996,2.930000000000291
2023-02-25 16:00:00,23016.29,23085.25,23003.51,23009.0,1066.94,24589830.87,2023-02-25,16:00:00,24588763.93,565966678354.8723,7.290000000000873
2023-02-25 17:00:00,23045.48,23049.52,23007.6,23016.29,778.28,17922183.51,2023-02-25,17:00:00,17921405.23,413025321636.03485,29.18999999999869
