time,close,high,low,open,volumefrom,volumeto,coin_name,coin_symbol,market_cap,volume
2022-09-19 23:00:00,19541.28,19638.04,19527.15,19607.56,1344.49,26309633.44,Bitcoin,BTC,514123913748.4032,26308288.950000003
2022-09-20 22:00:00,18964.21,18969.14,18842.81,18892.61,2000.17,37832378.88,Bitcoin,BTC,717461177879.8848,37830378.71
2022-09-20 23:00:00,18879.95,18969.86,18795.75,18964.21,1780.71,33594625.13,Bitcoin,BTC,634264842723.1436,33592844.42
2022-09-21 22:00:00,18488.96,18499.55,18189.92,18471.04,7301.52,133826016.64,Bitcoin,BTC,2474303868616.2944,133818715.12
2022-09-21 23:00:00,18468.05,18577.35,18432.74,18488.96,2539.26,46987309.21,Bitcoin,BTC,867763975855.7405,46984769.95
2022-09-22 22:00:00,19398.62,19432.57,19176.42,19178.15,2402.61,46454386.92,Bitcoin,BTC,901150999194.0504,46451984.31
2022-09-22 23:00:00,19405.96,19509.87,19365.34,19398.62,2031.1,39487110.69,Bitcoin,BTC,766285290565.7123,39485079.589999996
2022-09-23 22:00:00,19334.47,19339.12,19003.15,19011.8,4176.06,80016841.17,Bitcoin,BTC,1547083215096.1301,80012665.11
2022-09-23 23:00:00,19291.13,19399.76,19239.43,19334.47,1788.26,34585726.29,Bitcoin,BTC,667197742004.8077,34583938.03
2022-09-24 22:00:00,18886.04,18953.9,18813.25,18953.9,1989.57,37581074.85,Bitcoin,BTC,709757682860.0941,37579085.28
2022-09-24 23:00:00,18924.39,18954.08,18862.96,18886.04,1092.6,20663927.83,Bitcoin,BTC,391052229186.7737,20662835.229999997
2022-09-25 22:00:00,18791.2,18900.28,18652.6,18746.71,4034.68,75744642.87,Bitcoin,BTC,1423332733098.7441,75740608.19
2022-09-25 23:00:00,18809.94,18845.47,18737.0,18791.2,3027.96,56889448.35,Bitcoin,BTC,1070087110096.599,56886420.39
2022-09-26 22:00:00,19143.65,19208.65,19084.22,19102.65,1970.14,37710835.0,Bitcoin,BTC,721923026447.75,37708864.86
2022-09-26 23:00:00,19230.96,19248.59,19123.79,19143.65,2181.9,41879070.8,Bitcoin,BTC,805374735391.9679,41876888.9
2022-09-27 22:00:00,19079.65,19096.92,18930.51,18993.93,2615.75,49765660.17,Bitcoin,BTC,949511378062.5406,49763044.42
2022-09-27 23:00:00,19081.4,19163.15,19069.65,19079.65,1908.95,36486822.13,Bitcoin,BTC,696219647791.3821,36484913.18
2022-09-28 22:00:00,19486.56,19661.08,19414.76,19616.58,2304.58,45018532.32,Bitcoin,BTC,877256331165.6193,45016227.74
2022-09-28 23:00:00,19412.67,19555.98,19389.95,19486.56,1542.2,30022622.26,Bitcoin,BTC,582819258468.0342,30021080.060000002
2022-09-29 22:00:00,19457.9,19534.01,19421.71,19432.87,1778.6,34639826.76,Bitcoin,BTC,674018285113.404,34638048.16
2022-09-29 23:00:00,19593.46,19615.57,19434.22,19457.9,1807.61,35306962.69,Bitcoin,BTC,691785561188.0073,35305155.08
2022-09-30 22:00:00,19389.04,19401.09,19248.55,19362.32,1750.15,33833529.96,Bitcoin,BTC,655999665735.6384,33831779.81
2022-09-30 23:00:00,19425.63,19476.02,19365.82,19389.04,960.37,18655624.44,Bitcoin,BTC,362397257790.3972,18654664.07
2022-10-01 22:00:00,19328.36,19343.38,19275.47,19289.96,591.18,11416004.04,Bitcoin,BTC,220652635846.5744,11415412.86
2022-10-01 23:00:00,19313.96,19344.48,19293.78,19328.36,306.11,5913245.65,Bitcoin,BTC,114208189954.274,5912939.54
2022-10-02 22:00:00,19173.75,19299.18,19145.43,19198.44,3138.52,60274185.86,Bitcoin,BTC,1155682171133.175,60271047.339999996
2022-10-02 23:00:00,19058.15,19179.98,18929.91,19173.75,6060.32,115206138.52,Bitcoin,BTC,2195615868834.938,115200078.2
2022-10-03 22:00:00,19522.97,19600.8,19518.42,19555.4,1338.24,26163494.2,Bitcoin,BTC,510789112361.774,26162155.96
2022-10-03 23:00:00,19632.35,19697.23,19522.97,19522.97,2439.72,47899349.36,Bitcoin,BTC,940376791407.7959,47896909.64
2022-10-04 22:00:00,20302.53,20332.19,20245.23,20300.42,1601.39,32490230.66,Bitcoin,BTC,659633882681.5698,32488629.27
2022-10-04 23:00:00,20344.58,20389.61,20280.39,20302.53,1898.27,38595730.48,Bitcoin,BTC,785213926408.7983,38593832.20999999
2022-10-05 22:00:00,20194.6,20216.54,20024.3,20055.15,2026.03,40762549.79,Bitcoin,BTC,823183387989.1339,40760523.76
2022-10-05 23:00:00,20160.74,20201.16,20121.61,20194.6,1316.09,26530665.62,Bitcoin,BTC,534877851591.75885,26529349.53
2022-10-06 22:00:00,19902.39,19947.95,19866.54,19916.04,2662.89,53038557.89,Bitcoin,BTC,1055594064164.357,53035895.0
2022-10-06 23:00:00,19965.12,19975.1,19878.02,19902.39,1989.18,39657400.67,Bitcoin,BTC,791764763264.6304,39655411.49
2022-10-07 22:00:00,19552.7,19598.42,19546.25,19570.62,958.6,18760340.71,Bitcoin,BTC,366815313800.41705,18759382.11
2022-10-07 23:00:00,19532.81,19568.82,19512.85,19552.7,797.84,15593139.11,Bitcoin,BTC,304577823539.1991,15592341.27
2022-10-08 22:00:00,19362.97,19375.36,19273.73,19317.9,1449.9,28020289.0,Bitcoin,BTC,542556015298.33,28018839.1
2022-10-08 23:00:00,19419.32,19445.57,19359.8,19362.97,890.41,17283523.69,Bitcoin,BTC,335634277263.6908,17282633.28
2022-10-09 22:00:00,19399.31,19482.12,19373.96,19480.9,2610.0,50687463.49,Bitcoin,BTC,983301817356.192,50684853.49
2022-10-09 23:00:00,19442.41,19452.17,19374.36,19399.31,1363.03,26466160.67,Bitcoin,BTC,514565946872.0147,26464797.64
2022-10-10 22:00:00,19133.04,19251.19,19052.64,19244.71,2731.0,52218262.91,Bitcoin,BTC,999094112987.5464,52215531.91
2022-10-10 23:00:00,19131.36,19198.7,19123.95,19133.04,1347.01,25808246.81,Bitcoin,BTC,493746860690.9616,25806899.799999997
2022-10-11 22:00:00,19040.03,19056.1,18994.53,19004.47,1198.15,22801516.52,Bitcoin,BTC,434141558586.2956,22800318.37
2022-10-11 23:00:00,19058.29,19059.62,19005.32,19040.03,1051.48,20014487.49,Bitcoin,BTC,381441906785.7921,20013436.009999998
2022-10-12 22:00:00,19155.72,19231.72,19155.03,19181.55,1329.43,25510837.96,Bitcoin,BTC,488678468927.1312,25509508.53
2022-10-12 23:00:00,19154.85,19172.13,19136.38,19155.72,755.11,14464635.61,Bitcoin,BTC,277067925414.2085,14463880.5
2022-10-13 22:00:00,19436.23,19455.91,19393.62,19406.45,1589.54,30882401.51,Bitcoin,BTC,600237458700.7073,30880811.970000003
2022-10-13 23:00:00,19378.91,19444.88,19358.79,19436.23,1110.54,21539309.13,Bitcoin,BTC,417408333092.4483,21538198.59
2022-10-14 22:00:00,19161.37,19165.78,19091.61,19108.39,1074.63,20559493.64,Bitcoin,BTC,393948064648.68677,20558419.01
2022-10-14 23:00:00,19182.01,19196.8,19145.94,19161.37,669.03,12828548.76,Bitcoin,BTC,246077350599.8076,12827879.73
2022-10-15 22:00:00,19062.63,19091.06,19046.27,19069.13,808.51,15416046.34,Bitcoin,BTC,293870387442.27423,15415237.83
2022-10-15 23:00:00,19069.72,19129.3,18989.54,19062.63,1453.3,27692718.02,Bitcoin,BTC,528092378680.35443,27691264.72
2022-10-16 22:00:00,19299.32,19348.41,19121.13,19149.6,2171.59,41868414.38,Bitcoin,BTC,808031927012.2217,41866242.79
2022-10-16 23:00:00,19264.26,19314.97,19231.42,19299.32,1044.92,20133911.82,Bitcoin,BTC,387864912117.55316,20132866.9
2022-10-17 22:00:00,19518.46,19625.87,19475.69,19517.34,2302.99,45041607.07,Bitcoin,BTC,879142805931.5122,45039304.08
2022-10-17 23:00:00,19550.49,19574.64,19509.64,19518.46,1211.59,23687629.29,Bitcoin,BTC,463104759557.8521,23686417.7
2022-10-18 22:00:00,19321.87,19335.16,19259.13,19298.47,1544.69,29805807.17,Bitcoin,BTC,575903931383.8079,29804262.48
2022-10-18 23:00:00,19330.29,19370.29,19308.84,19321.87,1429.28,27644249.84,Bitcoin,BTC,534371366239.6536,27642820.56
2022-10-19 22:00:00,19142.38,19197.44,19107.23,19197.44,1716.28,32865616.23,Bitcoin,BTC,629126114808.8274,32863899.95
2022-10-19 23:00:00,19123.89,19161.71,19094.45,19142.38,1643.58,31443812.47,Bitcoin,BTC,601328010856.9082,31442168.89
2022-10-20 22:00:00,19036.08,19091.55,19003.74,19073.0,1497.46,28512540.27,Bitcoin,BTC,542766997582.94165,28511042.81
2022-10-20 23:00:00,19043.54,19049.95,18980.88,19036.08,1412.42,26869235.31,Bitcoin,BTC,511685357395.3974,26867822.889999997
2022-10-21 22:00:00,19190.77,19193.83,19155.37,19156.36,870.13,16685816.45,Bitcoin,BTC,320213665754.1665,16684946.319999998
2022-10-21 23:00:00,19166.4,19192.38,19163.59,19190.77,644.53,12361345.5,Bitcoin,BTC,236922492391.2,12360700.97
2022-10-22 22:00:00,19197.47,19209.01,19188.34,19206.78,383.64,7364818.0,Bitcoin,BTC,141385872610.46002,7364434.36
2022-10-22 23:00:00,19207.57,19209.8,19195.12,19197.47,348.62,6694488.44,Bitcoin,BTC,128584855325.4908,6694139.82
2022-10-23 22:00:00,19593.23,19687.8,19541.01,19541.94,6113.51,119928814.2,Bitcoin,BTC,2349792840247.866,119922700.69
2022-10-23 23:00:00,19572.6,19606.52,19524.58,19593.23,2397.08,46909003.44,Bitcoin,BTC,918131160729.7439,46906606.36
2022-10-24 22:00:00,19360.15,19374.96,19307.47,19366.27,1456.68,28167435.96,Bitcoin,BTC,545325785300.9941,28165979.28
2022-10-24 23:00:00,19331.06,19365.25,19324.3,19360.15,676.59,13088283.96,Bitcoin,BTC,253010402527.79764,13087607.370000001
2022-10-25 22:00:00,20068.53,20241.81,19995.46,20229.15,4119.5,82732783.21,Bitcoin,BTC,1660325341833.381,82728663.71
2022-10-25 23:00:00,20087.18,20135.22,20046.49,20068.53,2680.68,53851425.68,Bitcoin,BTC,1081723280890.7825,53848745.0
2022-10-26 22:00:00,20822.26,20905.97,20708.13,20749.88,4200.31,87450758.97,Bitcoin,BTC,1820922440470.672,87446558.66
2022-10-26 23:00:00,20776.76,20903.7,20745.57,20822.26,2306.8,48036302.14,Bitcoin,BTC,998038720850.2664,48033995.34
2022-10-27 22:00:00,20271.07,20422.67,20207.09,20410.03,3166.22,64321491.27,Bitcoin,BTC,1303865452038.5588,64318325.050000004
